fecha,aero,v1,v2,vb1,vb2,w1,w2,n1,n2,n3,t1,td,qnh,closed,Metar
Nov2003-010000Z,SPZO,05005KT,,9999,,,,FEW040,SCT200,,15,5,1026,0,"('SPZO', 'Nov2003-010000Z', '05005KT', '9999', 'FEW040', 'SCT200', '15/05', 'Q1026')"
Nov2003-010100Z,SPZO,VRB03KT,,9999,,,,FEW040,,,12,6,1027,0,"('SPZO', 'Nov2003-010100Z', 'VRB03KT', '9999', 'FEW040', '12/06', 'Q1027')"
Nov2003-010200Z,SPZO,00000KT,,9999,,,,FEW040,SCT070,,12,5,1028,0,"('SPZO', 'Nov2003-010200Z', '00000KT', '9999', 'FEW040', 'SCT070', '12/05', 'Q1028')"
Nov2003-010300Z,SPZO,27004KT,,9999,,,,SKC,,,10,5,1028,0,"('SPZO', 'Nov2003-010300Z', '27004KT', '9999', 'SKC', '10/05', 'Q1028')"
Nov2003-010400Z,SPZO,00000KT,,9999,,,,SCT040,,,9,5,1028,0,"('SPZO', 'Nov2003-010400Z', '00000KT', '9999', 'SCT040', '09/05', 'Q1028')"
Nov2003-010500Z,SPZO,28004KT,,9999,,,,SCT040,SCT060,,9,5,1028,0,"('SPZO', 'Nov2003-010500Z', '28004KT', '9999', 'SCT040', 'SCT060', '09/05', 'Q1028')"
Nov2003-010600Z,SPZO,00000KT,,9000,,-RA,,SCT030,BKN040,,10,6,1027,0,"('SPZO', 'Nov2003-010600Z', '00000KT', '9000', '-RA', 'SCT030', 'BKN040', '10/06', 'Q1027')"
Nov2003-010700Z,SPZO,28011KT,,8000,,-RA,,SCT030,BKN040,,9,6,1027,0,"('SPZO', 'Nov2003-010700Z', '28011KT', '8000', '-RA', 'SCT030', 'BKN040', '09/06', 'Q1027')"
Nov2003-010800Z,SPZO,00000KT,,8000,,-RA,,BKN030,SCT040,,9,6,1028,0,"('SPZO', 'Nov2003-010800Z', '00000KT', '8000', '-RA', 'BKN030', 'SCT040', '09/06', 'Q1028')"
Nov2003-010900Z,SPZO,00000KT,,8000,,-RA,,FEW025,SCT033,BKN040,8,6,1029,0,"('SPZO', 'Nov2003-010900Z', '00000KT', '8000', '-RA', 'FEW025', 'SCT033', 'BKN040', '08/06', 'Q1029')"
Nov2003-011000Z,SPZO*,00000KT,,7000,,RA,,FEW025,BKN037,,7,6,1029,1,"('SPZO*', 'Nov2003-011000Z', '00000KT', '7000', 'RA', 'FEW025', 'BKN037', '07/06', 'Q1029')"
Nov2003-011100Z,SPZO*,10004KT,,7000,,-RA,,FEW025,SCT037,BKN050,7,5,1030,1,"('SPZO*', 'Nov2003-011100Z', '10004KT', '7000', '-RA', 'FEW025', 'SCT037', 'BKN050', '07/05', 'Q1030')"
Nov2003-011200Z,SPZO,00000KT,,9999,,,,SCT037,BKN046,,8,4,1030,0,"('SPZO', 'Nov2003-011200Z', '00000KT', '9999', 'SCT037', 'BKN046', '08/04', 'Q1030')"
Nov2003-011300Z,SPZO,00000KT,,9999,,,,SCT037,BKN046,,10,4,1031,0,"('SPZO', 'Nov2003-011300Z', '00000KT', '9999', 'SCT037', 'BKN046', '10/04', 'Q1031')"
Nov2003-011400Z,SPZO,00000KT,,9999,,,,FEW037,BKN046,,11,5,1031,0,"('SPZO', 'Nov2003-011400Z', '00000KT', '9999', 'FEW037', 'BKN046', '11/05', 'Q1031')"
Nov2003-011500Z,SPZO,VRB02KT,,9999,,,,SCT035,BKN050,,13,5,1031,0,"('SPZO', 'Nov2003-011500Z', 'VRB02KT', '9999', 'SCT035', 'BKN050', '13/05', 'Q1031')"
Nov2003-011600Z,SPZO,VRB02KT,,9999,,,,FEW040,OVC060,,15,4,1030,0,"('SPZO', 'Nov2003-011600Z', 'VRB02KT', '9999', 'FEW040', 'OVC060', '15/04', 'Q1030')"
Nov2003-011700Z,SPZO,VRB03KT,,9999,,,,FEW040,OVC060,,16,4,1028,0,"('SPZO', 'Nov2003-011700Z', 'VRB03KT', '9999', 'FEW040', 'OVC060', '16/04', 'Q1028')"
Nov2003-011800Z,SPZO,VRB03KT,,9999,,,,FEW040,OVC060,,17,4,1027,0,"('SPZO', 'Nov2003-011800Z', 'VRB03KT', '9999', 'FEW040', 'OVC060', '17/04', 'Q1027')"
Nov2003-011900Z,SPZO,27009KT,190V350,9999,,,,SCT046,SCT090,,19,2,1026,0,"('SPZO', 'Nov2003-011900Z', '27009KT', '190V350', '9999', 'SCT046', 'SCT090', '19/02', 'Q1026')"
Nov2003-012000Z,SPZO,01010KT,340V080,9999,,,,SCT046,BKN070,,17,4,1025,0,"('SPZO', 'Nov2003-012000Z', '01010KT', '340V080', '9999', 'SCT046', 'BKN070', '17/04', 'Q1025')"
Nov2003-012100Z,SPZO,01010KT,340V080,9999,,,,SCT050,SCT080,,17,3,1025,0,"('SPZO', 'Nov2003-012100Z', '01010KT', '340V080', '9999', 'SCT050', 'SCT080', '17/03', 'Q1025')"
Nov2003-012200Z,SPZO,VRB06KT,,9999,,,,SCT050,SCT100,,17,5,1024,0,"('SPZO', 'Nov2003-012200Z', 'VRB06KT', '9999', 'SCT050', 'SCT100', '17/05', 'Q1024')"
Nov2003-012300Z,SPZO,VRB04KT,,9999,,,,SCT050,SCT100,,14,5,1025,0,"('SPZO', 'Nov2003-012300Z', 'VRB04KT', '9999', 'SCT050', 'SCT100', '14/05', 'Q1025')"
Nov2003-020000Z,SPZO,VRB02KT,,9999,,,,FEW050,SCT200,,12,4,1027,0,"('SPZO', 'Nov2003-020000Z', 'VRB02KT', '9999', 'FEW050', 'SCT200', '12/04', 'Q1027')"
Nov2003-020100Z,SPZO,VRB03KT,,9999,,,,FEW040,SCT200,,12,4,1028,0,"('SPZO', 'Nov2003-020100Z', 'VRB03KT', '9999', 'FEW040', 'SCT200', '12/04', 'Q1028')"
Nov2003-020200Z,SPZO,08004KT,,9999,,,,SCT040,,,10,4,1029,0,"('SPZO', 'Nov2003-020200Z', '08004KT', '9999', 'SCT040', '10/04', 'Q1029')"
Nov2003-020300Z,SPZO,VRB03KT,,9999,,,,SCT040,,,10,4,1030,0,"('SPZO', 'Nov2003-020300Z', 'VRB03KT', '9999', 'SCT040', '10/04', 'Q1030')"
Nov2003-020400Z,SPZO,00000KT,,9999,,,,FEW040,SCT050,,9,4,1030,0,"('SPZO', 'Nov2003-020400Z', '00000KT', '9999', 'FEW040', 'SCT050', '09/04', 'Q1030')"
Nov2003-020500Z,SPZO,00000KT,,9999,,,,FEW037,SCT050,,10,5,1029,0,"('SPZO', 'Nov2003-020500Z', '00000KT', '9999', 'FEW037', 'SCT050', '10/05', 'Q1029')"
Nov2003-020600Z,SPZO,00000KT,,9999,,,,SCT037,SCT050,,9,5,1029,0,"('SPZO', 'Nov2003-020600Z', '00000KT', '9999', 'SCT037', 'SCT050', '09/05', 'Q1029')"
Nov2003-020700Z,SPZO,00000KT,,9999,,,,SCT040,SCT046,,8,5,1028,0,"('SPZO', 'Nov2003-020700Z', '00000KT', '9999', 'SCT040', 'SCT046', '08/05', 'Q1028')"
Nov2003-020800Z,SPZO,00000KT,,9999,,,,FEW030,SCT040,,8,5,1028,0,"('SPZO', 'Nov2003-020800Z', '00000KT', '9999', 'FEW030', 'SCT040', '08/05', 'Q1028')"
Nov2003-020900Z,SPZO,00000KT,,9999,,,,SCT040,SCT070,,8,5,1028,0,"('SPZO', 'Nov2003-020900Z', '00000KT', '9999', 'SCT040', 'SCT070', '08/05', 'Q1028')"
Nov2003-021000Z,SPZO,VRB02KT,,9999,,,,FEW040,SCT060,,7,5,1028,0,"('SPZO', 'Nov2003-021000Z', 'VRB02KT', '9999', 'FEW040', 'SCT060', '07/05', 'Q1028')"
Nov2003-021100Z,SPZO,00000KT,,9999,,,,FEW040,SCT300,,7,4,1029,0,"('SPZO', 'Nov2003-021100Z', '00000KT', '9999', 'FEW040', 'SCT300', '07/04', 'Q1029')"
Nov2003-021200Z,SPZO,00000KT,,9999,,,,SCT050,,,11,5,1030,0,"('SPZO', 'Nov2003-021200Z', '00000KT', '9999', 'SCT050', '11/05', 'Q1030')"
Nov2003-021300Z,SPZO,VRB03KT,,9999,,,,FEW043,BKN100,,13,4,1030,0,"('SPZO', 'Nov2003-021300Z', 'VRB03KT', '9999', 'FEW043', 'BKN100', '13/04', 'Q1030')"
Nov2003-021400Z,SPZO,VRB04KT,,9999,,,,SCT040,SCT100,,14,4,1030,0,"('SPZO', 'Nov2003-021400Z', 'VRB04KT', '9999', 'SCT040', 'SCT100', '14/04', 'Q1030')"
Nov2003-021500Z,SPZO,VRB02KT,,9999,,,,SCT046,SCT050,,17,3,1029,0,"('SPZO', 'Nov2003-021500Z', 'VRB02KT', '9999', 'SCT046', 'SCT050', '17/03', 'Q1029')"
Nov2003-021600Z,SPZO,VRB05KT,,9999,,,,SCT050,,,19,3,1028,0,"('SPZO', 'Nov2003-021600Z', 'VRB05KT', '9999', 'SCT050', '19/03', 'Q1028')"
Nov2003-021700Z,SPZO,08004KT,360V170,9999,,,,SCT043,SCT050,,18,2,1027,0,"('SPZO', 'Nov2003-021700Z', '08004KT', '360V170', '9999', 'SCT043', 'SCT050', '18/02', 'Q1027')"
Nov2003-021800Z,SPZO,36005KT,340V080,9999,,,,SCT040,SCT050,,19,2,1026,0,"('SPZO', 'Nov2003-021800Z', '36005KT', '340V080', '9999', 'SCT040', 'SCT050', '19/02', 'Q1026')"
Nov2003-021900Z,SPZO,36009KT,,9999,,,,BKN043,SCT060,,18,2,1025,0,"('SPZO', 'Nov2003-021900Z', '36009KT', '9999', 'BKN043', 'SCT060', '18/02', 'Q1025')"
Nov2003-022000Z,SPZO,01012KT,340V080,9999,,,,SCT043,SCT060,,18,4,1024,0,"('SPZO', 'Nov2003-022000Z', '01012KT', '340V080', '9999', 'SCT043', 'SCT060', '18/04', 'Q1024')"
Nov2003-022100Z,SPZO,01012KT,340V080,9999,,VCSH,,SCT043,BKN060,,17,3,1024,0,"('SPZO', 'Nov2003-022100Z', '01012KT', '340V080', '9999', 'VCSH', 'SCT043', 'BKN060', '17/03', 'Q1024')"
Nov2003-022200Z,SPZO,02011KT,340V080,9999,,VCSH,,SCT043,SCT060,,15,4,1025,0,"('SPZO', 'Nov2003-022200Z', '02011KT', '340V080', '9999', 'VCSH', 'SCT043', 'SCT060', '15/04', 'Q1025')"
